Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
AngusB102,2022-03-17 12:30:00,2022-03-17 12:45:00,14,66,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 12:45:00,2022-03-17 13:00:00,161,788,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 13:00:00,2022-03-17 13:15:00,1,7,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 13:15:00,2022-03-17 13:30:00,0,3,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 13:30:00,2022-03-17 13:45:00,1,5,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 13:45:00,2022-03-17 14:00:00,45,157,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 14:00:00,2022-03-17 14:15:00,25,100,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 14:15:00,2022-03-17 14:30:00,1,6,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 14:30:00,2022-03-17 14:45:00,3,9,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 14:45:00,2022-03-17 15:00:00,53,205,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 15:00:00,2022-03-17 15:15:00,92,423,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 15:15:00,2022-03-17 15:30:00,25,76,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 15:30:00,2022-03-17 15:45:00,5,24,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 15:45:00,2022-03-17 16:00:00,5,13,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 16:00:00,2022-03-17 16:15:00,18,65,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 16:15:00,2022-03-17 16:30:00,37,109,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 16:30:00,2022-03-17 16:45:00,50,229,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 16:45:00,2022-03-17 17:00:00,35,229,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 17:00:00,2022-03-17 17:15:00,154,657,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 17:15:00,2022-03-17 17:30:00,45,217,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 17:30:00,2022-03-17 17:45:00,12,50,0:08:40,0:06:20,1,0,1
AngusB102,2022-03-17 17:45:00,2022-03-17 18:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 18:00:00,2022-03-17 18:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 18:15:00,2022-03-17 18:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 18:30:00,2022-03-17 18:45:00,242,1361,0:03:32,0:11:28,1,1,0
AngusB102,2022-03-17 18:45:00,2022-03-17 19:00:00,450,2829,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 19:00:00,2022-03-17 19:15:00,170,801,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 19:15:00,2022-03-17 19:30:00,71,295,0:00:00,0:15:00,0,0,0
